DOMAIN,AGENCY,REG,CALLSIGN,TYPE,MODEL,HEX,COT,ICON,Domain,Agency,Type,Model
EMS,,N145DU,LIFE FLIGHT 1,HELICOPTER,,A0B5A1,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N162AE,MED 4,HELICOPTER,,A0F921,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N401MF,DARE MED 1MF,HELICOPTER,,A4B171,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N433CM,MED 1,HELICOPTER,,A52E81,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N436CM,MED 2,HELICOPTER,,A539A6,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N438CM,MED 3,HELICOPTER,,A54114,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N445DU,LIFE FLIGHT 4,HELICOPTER,,A55D8E,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N485EC,EAST CARE 5,HELICOPTER,,A5FB93,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N504LH,AIR LIFE 4LH,HELICOPTER,,A649CE,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N512WF,AIR CARE 3,HELICOPTER,,A66AD7,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N513PH,,HELICOPTER,,A66DE1,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N545DU,LIFE FLIGHT 5DU,HELICOPTER,,A6EADD,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N556MT,MEDFLIGHT 1,HELICOPTER,,A716DA,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,,N586WH,AIR CARE 1,HELICOPTER,,A78E2E,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
